doi;hal;ads_ok;ads_ko;ma_ok;xref_ok;xref_ko;scigraph;elsevier;plos;ma_ko
10.1021/acs.macromol.7b02543;;;;1;;;;;;1
10.32386/scivpro.000014;;;;1;;;;;;1
10.2217/nnm-2018-0259;;;;1;;;;;;1
10.1098/rsob.170248;;;;1;;;;;;1
10.1021/acs.biochem.8b00039;;;;1;;;;;;1
10.1021/acs.chemmater.7b05278;;;;1;;;;;;1
10.1371/journal.pone.0196691;;;;1;;;;;1;1
10.1371/journal.pone.0196797;;;;1;;;;;;1
10.1039/c7dt04824f;;;;1;;;;;;
10.1371/journal.pone.0196358;;;;1;;;;;;1
10.1371/journal.pone.0195011;;;;1;;;;;1;1
10.1088/2057-1976/aac2f4;;;;1;;;;;;1
10.1038/s41467-018-04508-x;;;;1;;;1;;;1
10.1111/joa.12823;;;;1;;;;;;1
10.1002/1873-3468.13055;;;;1;;;;;;1
10.1002/anie.201802083;;;;1;;;;;;1
10.1021/acs.est.8b01542;;;;1;;;;;;1
10.1038/s41598-018-26601-3;;;;1;;;1;;;1
10.1038/s41467-018-04214-8;;;;1;;;1;;;1
10.1038/s41598-018-25237-7;;;;1;;;1;;;1
10.1038/s42003-018-0065-z;;;;1;;;1;;;1
10.1111/febs.14434;;;;1;;;;;;1
10.1016/j.cattod.2016.02.065;;;;1;;;;1;;1
10.1111/brv.12277;;;;1;;;;;;1
10.1007/s11244-016-0612-0;1;;;1;;;1;;;1
10.1111/sed.12310;;;;1;;;;;;1
10.1016/j.optmat.2016.09.066;;;;1;;;;1;;1
10.1016/j.jallcom.2016.07.010;;;;1;;;;1;;1
10.1016/j.nima.2016.07.048;;;;1;;;;1;;1
10.1016/j.pnucene.2016.07.017;;;;1;;;;1;;1
10.1016/j.cattod.2016.07.028;;;;1;;;;1;;1
10.1016/j.jmmm.2016.08.063;;;;1;;;;1;;1
10.1016/j.envexpbot.2016.09.006;;;;1;;;;1;;1
10.1016/j.ejmech.2016.09.027;;;;1;;;;1;;1
10.1016/j.cattod.2016.08.027;;;;1;;;;1;;1
10.1016/j.ijhydene.2016.08.153;;;;1;;;;1;;1
10.1016/j.jsbmb.2016.09.015;;;;1;;;;1;;1
10.1016/j.ica.2016.09.033;;;;1;;;;1;;1
10.1016/j.plaphy.2016.06.003;;;;1;;;;1;;1
10.1016/j.cattod.2016.06.037;;;;1;;;;1;;1
10.1016/j.jcrysgro.2016.02.020;;;;1;;;;1;;1
10.1016/j.solmat.2016.01.003;;;;1;;;;1;;1
10.1016/j.ejmech.2016.10.007;;;;1;;;;1;;1
10.1016/j.radphyschem.2016.01.023;;;;1;;;;1;;1
10.1016/j.ica.2016.05.046;;;;1;;;;1;;1
10.1016/j.ijrmhm.2016.06.017;;;;1;;;;1;;1
10.1016/j.plaphy.2016.07.018;;;;1;;;;1;;1
10.1016/j.bbagen.2016.04.022;;;;1;;;;1;;1
10.1016/j.msec.2016.10.038;;;;1;;;;1;;1
10.1016/j.jmps.2016.09.011;1;;;1;;;;1;;1
10.1016/j.compositesb.2016.10.043;;;;1;;;;1;;1
10.1016/j.compositesa.2016.10.031;;;;1;;;;1;;1
10.1016/j.actamat.2016.10.028;1;;;1;;;;1;;1
10.1007/s10762-016-0314-5;;;;1;;;1;;;1
10.1007/s00249-016-1174-6;;;;1;;;1;;;1
10.1007/s10934-016-0275-z;;;;1;;;1;;;1
10.1007/s00289-016-1704-5;;;;1;;;1;;;1
10.1007/s11356-016-6901-0;1;;;1;;;1;;;1
10.1080/00393630.2015.1131029;;;;1;;;;;;1
10.1007/s10853-016-0458-7;;;;1;;;1;;;1
10.1016/j.ijplas.2016.10.004;;;;1;;;;1;;1
10.1016/j.gca.2016.10.040;;;;1;;;;1;;1
